account,sentiment,trades,total_pnl,mean_pnl,win_rate
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,25,4019.6186,160.7847,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,24,5615.0521,233.9605,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,68,58961.3797,867.0791,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,492,227680.4917,462.7652,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124284.9488,8285.6633,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,191,-14527.4425,-76.0599,0.5393
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,429,9999.4842,23.3088,0.8112
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,345,4029.2417,11.679,0.8348
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,1428,36566.4833,25.6068,0.8347
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,1270,67275.9494,52.9732,0.8504
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,311,166696.3995,536.0013,0.9807
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,599,296781.7229,495.462,0.9533
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,506,97380.0909,192.4508,1.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,721,96392.7832,133.6932,0.9376
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,96,20496.0542,213.5006,0.625
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,159,74346.5466,467.5883,1.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,477,-19126.1581,-40.0968,0.8616
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,574,45514.3232,79.2932,0.9495
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,849,79023.4715,93.0783,0.9446
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,890,129217.6865,145.1884,0.9169
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,157,-71121.8207,-453.0052,0.6688
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,2576,367166.2169,142.5335,0.8602
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,1443,381330.494,264.2623,0.9667
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,1306,163047.6649,124.8451,0.9135
