account,trade_date,n_trades,total_pnl,avg_pnl,total_volume,total_fees,win_rate,sentiment,sentiment_value,pnl_per_trade
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,38,3774.0887,107.8311,241097.24,23.1457,1.0,Greed,74.0,99.3181
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,46,2467.7022,57.3884,181816.09,18.4271,1.0,Greed,65.0,53.6457
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,14,2441.4684,187.8053,97562.99,10.621,1.0,Greed,67.0,174.3906
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,12,360.3214,90.0803,40396.43,3.878,1.0,Greed,71.0,30.0268
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-03,7,-13.8446,-4.6149,330.51,0.0874,0.3333,Neutral,48.0,-1.9778
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-05,2,0.916,0.916,82.3,0.0177,1.0,Greed,69.0,0.458
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-07,1,,,47.59,0.0046,,Greed,68.0,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-08,3,1.5658,0.7829,139.38,0.0349,0.5,Greed,64.0,0.5219
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-23,1,,,10.56,0.0035,,Extreme Greed,76.0,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-06-13,1,-1.403,-1.403,11.97,0.004,0.0,Greed,70.0,-1.403
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-09,7,0.0157,0.0052,117.12,0.0393,1.0,Extreme Greed,78.0,0.0022
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-10,153,3634.5681,24.725,214389.55,29.3841,1.0,Extreme Greed,78.0,23.7553
